Name,Tier,Keywords
Academic Search Complete,general,scholarly journals|peer reviewed articles|academic journals|full text articles|open access journals|preprints|multidisciplinary research|general research|where do i start|journal article|academic research
African-American History,specialist,african american history|black history|slavery|african american culture|famous speeches|primary sources|historical timelines|key figures|emancipation|reconstruction|segregation|jim crow|abolition|civil rights movement|harlem renaissance|great migration|underground railroad
American Government,specialist,american government|civics|us government|political process|supreme court cases|landmark supreme court cases|rights and liberties|domestic policy|foreign policy|political documents|speeches|primary sources|guided inquiry|constitution|bill of rights|congress|presidency|elections|voting rights|federalism|separation of powers|judicial review
American History,specialist,american history|us history|united states history|biographies|primary sources|timelines|maps and graphs|topic centers|american revolution|civil war|great depression|colonial america|westward expansion|progressive era|new deal|cold war|vietnam war|industrial revolution|immigration history
American Indian History,specialist,american indian history|native american history|indigenous peoples|native american groups|tribes|biographies|primary sources|maps|timelines|indigenous culture|first nations|removal and relocation|trail of tears|treaties|reservations|sovereignty
Ancient and Medieval History,specialist,ancient history|medieval history|world history to 1500|prehistory|ancient near east|ancient egypt|ancient greece|ancient rome|ancient africa|ancient asia|ancient americas|medieval europe|islamic world|civilizations|primary sources|timelines|suggested search terms|mesopotamia|byzantine empire|middle ages|feudalism|crusades|black death|mayan|aztec|inca
Bloom's Literature,specialist,literary criticism|literature analysis|author biographies|character analysis|literary themes|scholarly essays|multiple interpretations|essay prompts|writing guides|academic writing|close reading|shakespeare|novel analysis|poetry analysis|book analysis|symbolism|literary devices|sparknotes alternative
Britannica ImageQuest,specialist,images|pictures|photographs|educational videos|rights cleared images|copyright safe images|images for a project|visual sources|citation tool|image metadata|illustrations|diagrams|historical photographs|clip art
Britannica School,general,encyclopedia|britannica|articles|images|videos|primary sources|reading levels|starting point for research|background information|general reference|overview of a topic
Business Source Premier,specialist,business journals|harvard business review|forbes|fortune|bloomberg businessweek|market trends|entrepreneurship|marketing|management|company reports|swot analysis|market research|case studies|deca|fbla|finance|economics|accounting|stock market|investing|supply chain|advertising|business ethics
Core Concepts: Biology,specialist,biology|cell biology|genetics|ecology|animal systems|plant structures|microbes|adaptation|physiology|ecological systems|science experiments|next generation science standards|ngss|interactive timelines|photosynthesis|dna|evolution|mitosis|cell structure|human body systems|food webs|natural selection|heredity
Core Concepts: Chemistry,specialist,chemistry|atoms|elements|chemical reactions|organic chemistry|biochemistry|properties of matter|chemical bonding|molecules|experiments|next generation science standards|ngss|stoichiometry|acids and bases|states of matter|chemical equations|molecular structure|lab safety
Core Concepts: Periodic Table,specialist,periodic table|elements|atomic structure|atomic theory|the 118 elements|element builder|chemistry reference|glossaries|flashcards|atomic number|electron configuration|noble gases|metals and nonmetals|isotopes|valence electrons
Credo Source,general,reference materials|research starting point|topic discovery|mind map|information literacy|research skills|skill builder|exploratory searching|building vocabulary|background reading|where do i start|general reference
CultureGrams,specialist,country reports|culture|customs|daily life|world cultures|countries|land and climate|greetings|dating and marriage|family|diet|housing|holidays|economy|education|health|us states|canadian provinces|world factbook alternative|traditions|etiquette|national holidays|population|languages spoken
Curriculum Resource Center,specialist,handouts|lesson plans|reproducibles|fact sheets|printable maps|science diagrams|math activities|image gallery|classroom supplements|for teachers|worksheets|teaching materials
EBSCO eBook Collection,general,ebooks|electronic books|online books|book length treatment|full text books|digital books|read a book online
ERIC (Education Resources Information Center),specialist,education research|pedagogy|teaching|curriculum guides|education journals|conference papers|dissertations|policy papers|education level|institute of education sciences|department of education|classroom management|assessment|literacy instruction|special education|teacher preparation|education policy
European Views of the Americas: 1493 to 1750,specialist,european exploration|colonial americas|primary sources|rare books|european views of native americans|john carter brown library|1493 to 1750|natural disasters|religious orders|slavery|new world|age of exploration|columbus|conquistadors|colonization|first contact
Explora High Schools,general,high school research|topic overviews|associated press videos|topic explorer|starting point for research|age appropriate sources|general reference|magazine articles|subtopics|where do i start
FactCite,general,elementary research|middle school research|age appropriate content|topic indexes|text to speech|citations|translation|noodletools integration|google classroom|beginning research
Feature Films for Education,specialist,feature films|full length films|movies|literary adaptations|dramas|classics|science fiction|foreign films|social issues|animation|academy award winners|environmental films|film studies
